17.75,17.75,17.75,17.5,17,17,16
19.5,19,19,18,17.5,17,16
20,20,19.25,18.5,18.75,17.75,16.75
22.5,21.75,20.5,20,19.5,18.25,16.75
22,22,20.75,19.5,19.75,18.25,16.75
21.5,21,20,19.25,19,17.75,16.5
20.75,20.25,19.25,18.5,18.25,17.5,16
20,19.5,18.5,17.75,17.5,17,15.5
